ZipCode,Pop2019,demand,penalty,miles
77002,22953,4590.6,52.5,0.86222712
77003,13794,2758.8,52.5,0.03607454
77004,37705,7541.0,52.5,0.86222712
77005,30451,6090.2,52.5,0.01797283
77006,24403,4880.6,52.5,0.86222712
77007,46142,9228.4,52.5,0.89963336
77008,39150,7830.0,52.5,0.86222712
77009,41502,8300.4,52.5,0.88853131
77010,522,104.4,52.5,0.42682615
77011,20801,4160.2,52.5,1.10146486
77012,21505,4301.0,52.5,0.94872244
77013,18678,3735.6,52.5,0.00516146
77014,33388,6677.6,66.97,0.86222712
77015,58586,11717.2,52.5,0.86222712
77016,28639,5727.8,52.5,0.93349355
77017,34092,6818.4,52.5,0.81497569
77018,29054,5810.8,52.5,0.07881657
77019,25311,5062.2,52.5,0.21408111
77020,26840,5368.0,52.5,0.86222712
77021,29258,5851.6,52.5,0.86222712
77022,32191,6438.2,52.5,0.35766678
77023,30583,6116.6,52.5,0.36337283
77024,41399,8279.8,52.5,0.86222712
77025,32070,6414.0,52.5,0.36879101
77026,24226,4845.2,52.5,0.86222712
77027,21260,4252.0,52.5,0.86222712
77028,17899,3579.8,52.5,0.1834548
77029,18238,3647.6,52.5,0.86222712
77030,11125,2225.0,52.5,0.86222712
77031,17043,3408.6,52.5,0.98649088
77032,13626,2725.2,67.56,1.86738432
77033,27400,5480.0,52.5,0.02789771
77034,34536,6907.2,52.5,0.93432217
77035,35917,7183.4,52.5,0.86222712
77036,78227,15645.4,52.5,0.86222712
77037,22488,4497.6,52.5,0.22128703
77038,30272,6054.4,52.5,2.06835219
77039,28620,5724.0,52.5,1.12926951
77040,49866,9973.2,52.5,1.83412818
77041,38827,7765.4,52.5,0.43842634
77042,40684,8136.8,52.5,0.29488222
77043,28404,5680.8,52.5,0.86222712
77044,50413,10082.6,67.53,3.18948487
77045,33852,6770.4,52.5,0.86222712
77046,474,94.8,52.5,0.3991436
77047,27817,5563.4,52.5,2.04071086
77048,17208,3441.6,52.5,1.96170021
77049,38039,7607.8,52.5,1.87573798
77050,5152,1030.4,52.5,2.49328202
77051,17670,3534.0,52.5,0.86222712
77053,32530,6506.0,52.5,2.83068571
77054,27236,5447.2,52.5,0.86222712
77055,47809,9561.8,52.5,0.86222712
77056,26174,5234.8,52.5,0.39215649
77057,43005,8601.0,52.5,0.9155498
77058,15930,3186.0,52.5,0.86222712
77059,19319,3863.8,52.5,2.39549794
77060,42401,8480.2,52.5,2.47980722
77061,25946,5189.2,52.5,1.92128682
77062,26981,5396.2,52.5,0.54163468
77063,40169,8033.8,52.5,0.86222712
77064,48709,9741.8,52.5,0.23727619
77065,38418,7683.6,52.5,0.86222712
77066,35489,7097.8,56.04,0.84385237
77067,31527,6305.4,52.5,1.812428
77068,12696,2539.2,66.97,0.23301647
77069,18103,3620.6,67.46,0.70111842
77070,52604,10520.8,52.78,0.86222712
77071,28612,5722.4,52.5,1.16936628
77072,56825,11365.0,52.5,0.96571641
77073,45315,9063.0,58.71,0.55248274
77074,41824,8364.8,52.5,0.86222712
77075,44258,8851.6,52.5,2.13834668
77076,35983,7196.6,52.5,0.86222712
77077,60854,12170.8,52.5,0.14773191
77078,15206,3041.2,52.5,1.47074276
77079,38121,7624.2,52.5,0.96069501
77080,50791,10158.2,52.5,0.04292153
77081,50171,10034.2,52.5,0.86222712
77082,58476,11695.2,52.5,0.86222712
77083,76909,15381.8,52.5,1.61145555
77084,110665,22133.0,52.5,0.68304352
77085,18277,3655.4,52.5,0.63473827
77086,30027,6005.4,52.5,2.0298909
77087,37639,7527.8,52.5,0.86222712
77088,54641,10928.2,52.5,0.27336279
77089,51634,10326.8,52.5,0.86222712
77090,36889,7377.8,58.09,0.86222712
77091,25802,5160.4,52.5,0.86222712
77092,36248,7249.6,52.5,0.6852282
77093,50058,10011.6,52.5,0.86222712
77094,11782,2356.4,52.5,0.86222712
77095,69161,13832.2,52.5,1.82473687
77096,34993,6998.6,52.5,0.47149458
77098,16024,3204.8,52.5,0.90961598
77099,49829,9965.8,52.5,0.57173137
