From,To,Cost
P1,D1,0.5
P1,D2,0.5
P1,D3,1.0
P1,D4,0.2
P1,D5,0.2
D1,C1,2.0
D1,C2,999.0
D1,C3,999.0
D1,C4,999.0
D1,C5,999.0
D1,C6,999.0
D1,C7,999.0
D1,C8,999.0
D1,C9,999.0
D1,C10,999.0
D2,C1,999.0
D2,C2,1.5
D2,C3,0.5
D2,C4,1.5
D2,C5,1.0
D2,C6,1.0
D2,C7,1.0
D2,C8,1.0
D2,C9,1.0
D2,C10,1.0
D3,C1,1.0
D3,C2,0.5
D3,C3,0.5
D3,C4,1.0
D3,C5,0.5
D3,C6,999.0
D3,C7,999.0
D3,C8,999.0
D3,C9,999.0
D3,C10,999.0
D4,C1,999.0
D4,C2,1.5
D4,C3,2.0
D4,C4,999.0
D4,C5,0.5
D4,C6,1.5
D4,C7,1.5
D4,C8,1.5
D4,C9,1.5
D4,C10,1.5
D5,C1,999.0
D5,C2,999.0
D5,C3,0.2
D5,C4,1.5
D5,C5,0.5
D5,C6,1.5
D5,C7,1.5
D5,C8,1.5
D5,C9,1.5
D5,C10,1.5
